ZIP,LAT,LNG
43523,41.3370649,-83.9892543
43524,41.2271217,-84.0384436
43525,41.4665824,-83.7044501
43526,41.3128056,-84.7253089
43527,41.2461091,-84.1575024
43528,41.6288552,-83.7495751
97884,44.4553413,-118.2222341
97885,45.6556568,-117.5117500
97886,45.8023079,-118.2724104
97901,43.6214451,-117.1072752
97903,44.2468051,-117.6469773
97904,43.8861787,-118.5229286
97905,44.57382,-117.4595124
97906,43.5370386,-117.7746785
97907,44.4195014,-117.3455140
97908,44.3123779,-117.9278861
97909,44.2465125,-117.4189859
97911,43.7364817,-118.0413879
97914,44.1136188,-117.0841615
97918,44.0371142,-117.3510723
97920,44.0721806,-117.8542824
71944,34.2428242,-94.3327689
73118,35.5179676,-97.5287181
71945,34.4851525,-94.3395650
73119,35.422007,-97.5661255
71949,34.6990852,-93.2207979
71950,34.2565183,-93.7178363
71952,34.2765131,-93.8214354
73120,35.5813161,-97.5736742
73121,35.5205166,-97.4395273
73122,35.520484,-97.6134401
73127,35.4774218,-97.6531944
73128,35.4584819,-97.6623814
73129,35.4314777,-97.4842815
71953,34.6080155,-94.1971930
73130,35.4586326,-97.3456320
73131,35.5764578,-97.4692940
71956,34.5986356,-93.1534376
73132,35.5534001,-97.6333255
73134,35.614168,-97.5684471
71957,34.5650238,-93.5747012
73135,35.4002683,-97.4330755
73139,35.3863767,-97.5256886
71958,34.1233523,-93.6646132
73141,35.5199621,-97.3944746
71959,34.2431655,-93.9315844
73142,35.6165977,-97.6453212
94133,37.8045315,-122.4108520
94134,37.721053,-122.4135730
94158,37.7681061,-122.3869269
94301,37.444131,-122.1499165
94303,37.4578826,-122.1150968
94304,37.3747017,-122.1816956
94305,37.4182561,-122.1708709
94306,37.4157295,-122.1307644
94401,37.5769477,-122.3169034
94402,37.523602,-122.3449203
94403,37.5384494,-122.3054470
94404,37.5559985,-122.2676793
94501,37.773793,-122.2781151
94502,37.7375722,-122.2455071
94503,38.1863204,-122.2636108
94505,37.8716803,-121.5970660
94506,37.8096767,-121.9131406
94507,37.8504099,-122.0211231
42440,37.2407268,-87.4646023
48801,43.3741008,-84.6776078
42441,37.3626476,-87.6685288
39563,30.4217495,-88.5230818
48806,43.1868911,-84.5001610
42442,37.1671029,-87.4883932
48807,43.1504763,-84.4020062
48808,42.8288357,-84.4447756
48809,43.0752987,-85.2579615
42445,37.1333391,-87.8517396
39564,30.4047703,-88.7712286
48811,43.1814983,-84.8537354
42450,37.3958701,-87.7634021
39565,30.5870947,-88.7444625
42451,37.8845326,-87.3907071
42452,37.6865115,-87.5316717
42453,37.157856,-87.5907124
39567,30.3654461,-88.5401151
48813,42.5797748,-84.8458912
42455,37.5933753,-87.5425510
48815,42.8343711,-85.2585846
48816,42.765009,-83.9559809
42456,37.5077055,-87.4960966
42458,37.8395629,-87.4209423
48817,43.0139493,-84.0428844
48818,43.2746033,-84.8851123
42459,37.5668063,-88.0190479
95834,38.6352119,-121.5186075
95835,38.6706486,-121.5259826
95837,38.693765,-121.5989406
95838,38.6457235,-121.4452544
95841,38.6603703,-121.3473936
95842,38.6868098,-121.3491442
95843,38.7154634,-121.3634219
95864,38.5840466,-121.3758456
95901,39.2239387,-121.4940499
95903,39.1060986,-121.3681796
95910,39.4911263,-120.8172323
95912,39.0167022,-122.0621433
95914,39.4490043,-121.3305213
95915,40.0062561,-121.1588944
37351,35.1002851,-85.2603629
37352,35.2775203,-86.3530268
